date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:36:38	201/201	---M--	200	added ('OK')	text/plain	date:Sat,%2023%20Jul%202022%2010:36:38%20GMT	https://infiserum.wixsite.com/robots.txt		(from )
20:36:39	366412/366412	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Jul%202022%2010:36:38%20GMT	https://infiserum.wixsite.com/lynx	C:/My%20Web%20Sites/Lynx/infiserum.wixsite.com/lynx.html	(from )
20:36:39	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/Lynx/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://infiserum.wixsite.com/lynx)
20:36:40	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/Lynx/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://infiserum.wixsite.com/lynx)
20:36:40	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2020%20Jul%202022%2005:13:37%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/Lynx/polyfill.io/v3/polyfill.mind82c.js	(from https://infiserum.wixsite.com/lynx)
20:36:40	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/My%20Web%20Sites/Lynx/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://infiserum.wixsite.com/lynx)
20:36:41	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Jul%202022%2010:36:40%20GMT	https://infiserum.wixsite.com/decodeURIComponent(e	C:/My%20Web%20Sites/Lynx/infiserum.wixsite.com/decodeURIComponent(e	(from https://infiserum.wixsite.com/lynx)
20:36:41	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Jul%202022%2010:36:41%20GMT	https://infiserum.wixsite.com/sitemap.xml	C:/My%20Web%20Sites/Lynx/infiserum.wixsite.com/sitemap.xml	(from https://infiserum.wixsite.com/lynx)
20:36:41	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Jul%202022%2010:36:41%20GMT	https://infiserum.wixsite.com/feed.xml	C:/My%20Web%20Sites/Lynx/infiserum.wixsite.com/feed.xml	(from https://infiserum.wixsite.com/lynx)
20:36:42	170148/170148	---M-Z	200	added ('OK')	application/javascript	etag:W/%229aa534967cf8aee40272fa1e95b7a276%22	https://static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.84152249.bundle.min.js	C:/My%20Web%20Sites/Lynx/static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.84152249.bundle.min.js	(from https://infiserum.wixsite.com/lynx)
20:36:42	184777/184777	---M-Z	200	added ('OK')	application/javascript	etag:W/%22661bae77920c81d8e69150331d1d2550%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.b6acf567.bundle.min.js	C:/My%20Web%20Sites/Lynx/static.parastorage.com/services/wix-thunderbolt/dist/main.b6acf567.bundle.min.js	(from https://infiserum.wixsite.com/lynx)
20:36:42	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/My%20Web%20Sites/Lynx/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://infiserum.wixsite.com/lynx)
20:36:42	12463/12463	---M-Z	200	added ('OK')	application/javascript	etag:W/%22edf56a42bca6b565bf7dfcbd8ffc221a%22	https://static.parastorage.com/unpkg/react@16.13.1/umd/react.production.min.js	C:/My%20Web%20Sites/Lynx/static.parastorage.com/unpkg/react@16.13.1/umd/react.production.min.js	(from https://infiserum.wixsite.com/lynx)
